Flight_ID,Date,Airline,Origin,Destination,Passenger_Name,Class,Fare,Status,Payment_Method,Cabin_Baggage_KG,Checkin_Baggage_KG
FL1001,2025-12-05,SpiceJet,Delhi,New York,Passenger_1,Economy,6264.7,Delayed,Debit Card,5.0,20.0
FL1002,2025-12-22,Air India,Chennai,Paris,Passenger_2,First Class,16030.48,On-Time,,,25.0
FL1003,2025-08-25,GoAir,Hyderabad,Bangkok,Passenger_3,First Class,10303.66,On-Time,Credit Card,7.0,15.0
FL1004,2025-08-16,SpiceJet,Kolkata,New York,Passenger_4,Economy,,On-Time,Credit Card,10.0,30.0
FL1005,2025-09-26,Vistara,Delhi,London,Passenger_5,Business,8063.49,On-Time,,,25.0
FL1006,2025-08-10,IndiGo,Chennai,Bangkok,Passenger_6,Business,4604.81,On-Time,,10.0,
FL1007,2025-12-08,AirAsia,Mumbai,Bangkok,Passenger_7,Economy,14878.98,Cancelled,UPI,7.0,15.0
FL1008,2025-08-11,Air India,Delhi,Bangkok,Passenger_8,Business,8988.39,Delayed,Debit Card,7.0,
FL1009,2025-10-19,GoAir,Mumbai,Bangkok,Passenger_9,Business,14709.43,On-Time,Net Banking,5.0,
FL1010,2025-08-11,Vistara,Chennai,New York,Passenger_10,Business,8166.84,Delayed,Credit Card,10.0,15.0
FL1011,2025-06-07,SpiceJet,Chennai,Bangkok,Passenger_11,Business,5480.8,Delayed,Net Banking,10.0,20.0
FL1012,2025-03-12,Air India,Hyderabad,Singapore,Passenger_12,First Class,4777.09,On-Time,UPI,7.0,30.0
FL1013,2025-12-01,SpiceJet,Delhi,Bangkok,Passenger_13,Economy,7550.09,Delayed,,10.0,20.0
FL1014,2025-12-28,Air India,Chennai,Bangkok,Passenger_14,First Class,17190.39,Delayed,,10.0,20.0
FL1015,2025-12-08,Vistara,Hyderabad,New York,Passenger_15,Business,4944.57,On-Time,,,15.0
FL1016,2025-06-05,Air India,Kolkata,Paris,Passenger_16,Economy,12045.65,Delayed,Credit Card,,
FL1017,2025-05-04,AirAsia,Mumbai,Singapore,Passenger_17,Business,17999.28,Cancelled,UPI,,15.0
FL1018,2025-08-10,IndiGo,Chennai,Singapore,Passenger_18,Business,7541.33,Cancelled,,,
FL1019,2025-12-20,IndiGo,Delhi,London,Passenger_19,Economy,16858.8,Cancelled,UPI,,20.0
FL1020,2025-07-27,IndiGo,Mumbai,Dubai,Passenger_20,First Class,12140.95,Cancelled,Debit Card,,20.0
FL1021,2025-07-14,GoAir,Mumbai,London,Passenger_21,Economy,16705.61,Cancelled,UPI,,15.0
FL1022,2025-03-09,AirAsia,Bangalore,Bangkok,Passenger_22,Economy,12164.81,Delayed,Debit Card,,20.0
FL1023,2025-12-23,GoAir,Delhi,Singapore,Passenger_23,Economy,16787.91,On-Time,,,25.0
FL1024,2025-07-17,AirAsia,Delhi,Dubai,Passenger_24,Economy,7484.06,On-Time,,,30.0
FL1025,2025-10-22,AirAsia,Hyderabad,Paris,Passenger_25,Business,3206.08,Delayed,Credit Card,7.0,25.0
FL1026,2025-04-14,Vistara,Hyderabad,London,Passenger_26,Business,17190.19,On-Time,Debit Card,7.0,
FL1027,2025-01-02,Vistara,Chennai,New York,Passenger_27,Business,,Cancelled,Credit Card,,
FL1028,2025-11-04,Vistara,Delhi,Singapore,Passenger_28,Economy,17322.67,On-Time,UPI,10.0,15.0
FL1029,2025-02-16,Air India,Delhi,Paris,Passenger_29,Economy,7055.67,Cancelled,,7.0,25.0
FL1030,2025-05-17,IndiGo,Chennai,Singapore,Passenger_30,First Class,10452.16,Delayed,Credit Card,10.0,20.0
FL1031,2025-07-19,AirAsia,Mumbai,Paris,Passenger_31,Business,9628.55,Delayed,Debit Card,,
FL1032,2025-07-01,IndiGo,Bangalore,Dubai,Passenger_32,First Class,15842.63,Delayed,Net Banking,7.0,
FL1033,2025-05-01,AirAsia,Bangalore,New York,Passenger_33,First Class,10200.14,Delayed,Credit Card,,30.0
FL1034,2025-02-24,Vistara,Bangalore,Singapore,Passenger_34,Economy,4133.81,Delayed,,10.0,30.0
FL1035,2025-09-19,AirAsia,Kolkata,Dubai,Passenger_35,First Class,10541.97,On-Time,,10.0,
FL1036,2025-10-11,AirAsia,Kolkata,London,Passenger_36,First Class,6099.9,Cancelled,,7.0,30.0
FL1037,2025-02-28,Air India,Kolkata,New York,Passenger_37,Economy,5884.5,On-Time,UPI,10.0,25.0
FL1038,2025-01-01,GoAir,Hyderabad,London,Passenger_38,Business,4520.83,On-Time,,7.0,20.0
FL1039,2025-02-08,IndiGo,Delhi,Singapore,Passenger_39,Business,5601.45,On-Time,Net Banking,5.0,
FL1040,2025-05-24,AirAsia,Kolkata,Paris,Passenger_40,First Class,19784.4,On-Time,,7.0,15.0
FL1041,2025-01-03,IndiGo,Hyderabad,London,Passenger_41,First Class,17942.26,Cancelled,Credit Card,5.0,30.0
FL1042,2025-04-20,Air India,Chennai,New York,Passenger_42,Economy,8632.21,On-Time,Net Banking,5.0,30.0
FL1043,2025-07-09,AirAsia,Chennai,Singapore,Passenger_43,Economy,14975.86,Cancelled,Credit Card,,20.0
FL1044,2025-01-25,IndiGo,Chennai,Dubai,Passenger_44,First Class,15152.03,On-Time,Net Banking,10.0,15.0
FL1045,2025-04-08,Air India,Kolkata,New York,Passenger_45,First Class,3348.83,On-Time,Net Banking,,30.0
FL1046,2025-09-17,Air India,Hyderabad,Singapore,Passenger_46,Economy,11430.98,Delayed,,,25.0
FL1047,2025-08-17,SpiceJet,Hyderabad,New York,Passenger_47,First Class,13699.86,Delayed,Net Banking,,20.0
FL1048,2025-01-17,Air India,Delhi,Paris,Passenger_48,First Class,17055.83,On-Time,,5.0,15.0
FL1049,2025-02-07,Vistara,Mumbai,London,Passenger_49,Business,17433.94,On-Time,Credit Card,5.0,
FL1050,2025-08-14,Air India,Kolkata,Singapore,Passenger_50,Business,16595.84,Delayed,Debit Card,,
FL1051,2025-12-28,Air India,Kolkata,Dubai,Passenger_51,Economy,11282.01,On-Time,,,20.0
FL1052,2025-08-03,Air India,Chennai,Dubai,Passenger_52,Business,19570.63,Cancelled,Credit Card,5.0,25.0
FL1053,2025-06-18,IndiGo,Delhi,Dubai,Passenger_53,Business,8174.39,On-Time,,5.0,25.0
FL1054,2025-08-15,Vistara,Kolkata,Singapore,Passenger_54,First Class,13252.36,On-Time,Debit Card,7.0,25.0
FL1055,2025-12-14,Air India,Chennai,Bangkok,Passenger_55,First Class,7076.41,Cancelled,,7.0,15.0
FL1056,2025-07-01,SpiceJet,Mumbai,Bangkok,Passenger_56,Economy,16272.2,Delayed,UPI,5.0,25.0
FL1057,2025-07-16,IndiGo,Delhi,London,Passenger_57,Business,19974.03,On-Time,UPI,7.0,25.0
FL1058,2025-02-26,SpiceJet,Mumbai,New York,Passenger_58,Economy,12128.92,Cancelled,Net Banking,10.0,15.0
FL1059,2025-10-24,AirAsia,Kolkata,New York,Passenger_59,Economy,4837.26,On-Time,Debit Card,,
FL1060,2025-10-13,GoAir,Hyderabad,Singapore,Passenger_60,Economy,11704.97,On-Time,Net Banking,,30.0
FL1061,2025-07-04,Vistara,Bangalore,New York,Passenger_61,Economy,3694.78,Cancelled,UPI,7.0,30.0
FL1062,2025-12-17,GoAir,Mumbai,New York,Passenger_62,Business,10993.37,On-Time,Debit Card,5.0,
FL1063,2025-06-07,Air India,Chennai,London,Passenger_63,Economy,10366.61,Delayed,Credit Card,10.0,
FL1064,2025-08-02,SpiceJet,Hyderabad,Singapore,Passenger_64,Economy,19873.09,Cancelled,Credit Card,,15.0
FL1065,2025-03-28,GoAir,Bangalore,London,Passenger_65,Business,3328.62,Cancelled,Net Banking,7.0,20.0
FL1066,2025-08-05,SpiceJet,Bangalore,Singapore,Passenger_66,Economy,17610.52,Delayed,Credit Card,10.0,15.0
FL1067,2025-01-19,AirAsia,Hyderabad,Dubai,Passenger_67,Business,8495.86,On-Time,Debit Card,10.0,30.0
